üstlük;yüzeyacnalo;yüzey acnalo
imar;ihamr;iham r
mesken;bakırken;bakır ken
abajur;abantika;ab antika
kalpak;lafberrak;laf berrak
örtük;örçams;ör çams
sayvan;metamkulo;metam kulo
siper;ırışaer;ırışa er
abajurlu;kocakarıjurlu;kocakarı ju r lu
kalpaklı;kalmukaddeslı;k al mukaddes lı
siperli;kışıtakerli;kışıtak e r li
abaküs;neneküskün;nene küskün
mihsap;mihhavuç;mih havuç
abalı;ablalı;abla lı
abapuş;annepuş;anne puş
abartı;abpozitif;ab pozitif
mübalağa;mübalbüyük;m üb al büyük
abartılı;abtorpilılı;ab torpil ı lı
mübalağakar;mübalyaşlımeslek;mü bal yaşlı meslek
abartma;abziyade;ab ziyade
ilave;kesküyve;kesküy ve
abartmadan;üstlükrtmceziren;üstlük rtm cezire n
bilamübalağa;blasnanifübalpir;b lasnanif ü ba l pir
abat;açazim;a çazim
bayındır;bkocaoğlanndır;b kocaoğlan nd ır
rahat;ramakale;ra makale
abatlaşma;üstlükrizşma;üstlük riz ş ma
güzelleşme;sonbaharellkaynak;sonbahar e ll kaynak
şenlenme;eğlencelilenme;eğlenceli lenme
yakşılaşma;namuslulaşma;namuslu la şm a
abdar;absade;ab sade
güzel;sonbaharel;sonbahar el
ifadeli;ödemeçılgın;ödeme çılgın
letafetli;fargletafdolgun;farglet a f dolgun
manalı;şıvatalı;şıvat alı
sulu;smehabetli;s mehabetli
taravetli;tdelivdolgun;t deli v dolgun
tesirli;mıkatirli;mıkat irli
sululuk;güzelrekaç;güzel rekaç
abdest;abgrup;ab grup
abdesthane;köleestkarvansaraye;köle est karvansaray e
tuvalet;tuvafarglet;tuva farglet
abdug;köleug;köle ug
atlama;atlyalnız;atl yalnız
ayran;ayşeta;ay şeta
abece;abkraliçe;ab kraliçe
abecesel;alfabeküme;alfabe küme
alfabetik;alfabenucam;al f abe nucam
abes;aevet;a evet
gereksiz;gekeneteysiz;ge kenetey si z
yersiz;kanıtsiz;kanıt siz
benefşevi;beiglibmeyillii;be iglib meyilli i
abide;abdüşünce;ab düşünce
anıt;armağant;armağan t
eser;ebaşkan;e başkan
kaynak;kaymed;kay med
yadigar;yolağangar;y olağan g ar
abit;benefşevit;benefşevi t
zahit;zantlaşma;z antlaşma
abitleşme;afilolpınar;a filo l pınar
zahitleşme;hüccevetitlkaynak;hüccevet it l kaynak
abiye;absahip;ab sahip
gösterişli;gösarakişli;gös arak i şli
hayalı;hakumsal;ha kumsal
hürmetli;hürkabarmali;hü r kabarma li
ismetli;ismkalın;ism kalın
itibarlı;itibsıkılgan;i ti b sıkılgan
münasip;münbaşkaldırıcıp;m ün başkaldırıcı p
